,Region,Country,City,Filename
0,asia_wmo_region_2,CHN,Guangdong.Guangzhou,CHN_Guangdong.Guangzhou.592870_CSWD.epw
0,asia_wmo_region_2,CHN,Guangdong.Guangzhou,CHN_Guangdong.Guangzhou.592870_IWEC.epw
0,asia_wmo_region_2,CHN,Guangdong.Heyuan,CHN_Guangdong.Heyuan.592930_CSWD.epw
0,asia_wmo_region_2,CHN,Guangdong.Nanxiong,CHN_Guangdong.Nanxiong.579960_CSWD.epw
0,asia_wmo_region_2,CHN,Guangdong.Shantou,CHN_Guangdong.Shantou.593160_CSWD.epw
0,asia_wmo_region_2,CHN,Guangdong.Shanwei,CHN_Guangdong.Shanwei.595010_CSWD.epw
0,asia_wmo_region_2,CHN,Guangdong.Shaoguan,CHN_Guangdong.Shaoguan.590820_CSWD.epw
0,asia_wmo_region_2,CHN,Guangdong.Shenzhen,CHN_Guangdong.Shenzhen.594930_SWERA.epw
0,asia_wmo_region_2,CHN,Guangdong.Yangjiang,CHN_Guangdong.Yangjiang.596630_CSWD.epw
0,asia_wmo_region_2,CHN,Guangdong.Zhengcheng,CHN_Guangdong.Zhengcheng.592940_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Baise,CHN_Guangxi.Zhuang.Baise.592110_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Duan,CHN_Guangxi.Zhuang.Duan.590370_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Guilin,CHN_Guangxi.Zhuang.Guilin.579570_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Guiping,CHN_Guangxi.Zhuang.Guiping.592540_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Hechi,CHN_Guangxi.Zhuang.Hechi.590230_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Lingshan,CHN_Guangxi.Zhuang.Lingshan.594460_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Longzhou,CHN_Guangxi.Zhuang.Longzhou.594170_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Nanning,CHN_Guangxi.Zhuang.Nanning.594310_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Qinzhou,CHN_Guangxi.Zhuang.Qinzhou.596320_CSWD.epw
0,asia_wmo_region_2,CHN,Guangxi.Zhuang.Wuzhou,CHN_Guangxi.Zhuang.Wuzhou.592650_CSWD.epw
0,asia_wmo_region_2,CHN,Guizhou.Bijie,CHN_Guizhou.Bijie.577070_CSWD.epw
0,asia_wmo_region_2,CHN,Guizhou.Guiyang,CHN_Guizhou.Guiyang.578160_CSWD.epw
0,asia_wmo_region_2,CHN,Guizhou.Guiyang,CHN_Guizhou.Guiyang.578160_SWERA.epw
0,asia_wmo_region_2,CHN,Guizhou.Sansui,CHN_Guizhou.Sansui.578320_CSWD.epw
0,asia_wmo_region_2,CHN,Guizhou.Tongzi,CHN_Guizhou.Tongzi.576060_CSWD.epw
0,asia_wmo_region_2,CHN,Guizhou.Weining,CHN_Guizhou.Weining.566910_CSWD.epw
0,asia_wmo_region_2,CHN,Guizhou.Xingyi,CHN_Guizhou.Xingyi.579020_CSWD.epw
0,asia_wmo_region_2,CHN,Guizhou.Zunyi,CHN_Guizhou.Zunyi.577130_CSWD.epw
0,asia_wmo_region_2,CHN,Hainan.Dongfang,CHN_Hainan.Dongfang.598380_CSWD.epw
0,asia_wmo_region_2,CHN,Hainan.Haikou,CHN_Hainan.Haikou.597580_CSWD.epw
0,asia_wmo_region_2,CHN,Hainan.Qionghai,CHN_Hainan.Qionghai.598550_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Chengde,CHN_Hebei.Chengde.544230_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Fengning,CHN_Hebei.Fengning.543080_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Huailai,CHN_Hebei.Huailai.544050_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Leting,CHN_Hebei.Leting.545390_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Raoyang,CHN_Hebei.Raoyang.546060_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Shijiazhuang,CHN_Hebei.Shijiazhuang.536980_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Xingtai,CHN_Hebei.Xingtai.537980_CSWD.epw
0,asia_wmo_region_2,CHN,Hebei.Zhangbei,CHN_Hebei.Zhangbei.533990_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Anda,CHN_Heilongjiang.Anda.508540_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Fujin,CHN_Heilongjiang.Fujin.507880_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Fuyu,CHN_Heilongjiang.Fuyu.507420_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Hailun,CHN_Heilongjiang.Hailun.507560_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Harbin,CHN_Heilongjiang.Harbin.509530_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Harbin,CHN_Heilongjiang.Harbin.509530_IWEC.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Harbin,CHN_Heilongjiang.Harbin.509530_SWERA.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Huma,CHN_Heilongjiang.Huma.503530_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Jiamusi,CHN_Heilongjiang.Jiamusi.508730_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Jixi,CHN_Heilongjiang.Jixi.509780_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Keshan,CHN_Heilongjiang.Keshan.506580_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Mohe,CHN_Heilongjiang.Mohe.501360_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Mudanjiang,CHN_Heilongjiang.Mudanjiang.540940_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Nenjiang,CHN_Heilongjiang.Nenjiang.505570_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Qiqihar,CHN_Heilongjiang.Qiqihar.507450_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Shangzhi,CHN_Heilongjiang.Shangzhi.509680_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Suifenhe,CHN_Heilongjiang.Suifenhe.540960_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Sunwu,CHN_Heilongjiang.Sunwu.505640_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Tonghe,CHN_Heilongjiang.Tonghe.509630_CSWD.epw
0,asia_wmo_region_2,CHN,Heilongjiang.Zhaozhou,CHN_Heilongjiang.Zhaozhou.509500_CSWD.epw
0,asia_wmo_region_2,CHN,Henan.Anyang,CHN_Henan.Anyang.538980_CSWD.epw
0,asia_wmo_region_2,CHN,Henan.Lushi,CHN_Henan.Lushi.570670_CSWD.epw
0,asia_wmo_region_2,CHN,Henan.Nanyang,CHN_Henan.Nanyang.571780_CSWD.epw
0,asia_wmo_region_2,CHN,Henan.Shangqiu,CHN_Henan.Shangqiu.580050_CSWD.epw
0,asia_wmo_region_2,CHN,Henan.Xinyang,CHN_Henan.Xinyang.572970_CSWD.epw
0,asia_wmo_region_2,CHN,Henan.Zhengzhou,CHN_Henan.Zhengzhou.570830_CSWD.epw
0,asia_wmo_region_2,CHN,Henan.Zhumadian,CHN_Henan.Zhumadian.572900_CSWD.epw
0,asia_wmo_region_2,CHN,Hong.Kong.SAR,CHN_Hong.Kong.SAR.450070_CityUHK.epw
0,asia_wmo_region_2,CHN,Hubei.Exi,CHN_Hubei.Exi.574470_CSWD.epw
0,asia_wmo_region_2,CHN,Hubei.Laohekou,CHN_Hubei.Laohekou.572650_CSWD.epw
0,asia_wmo_region_2,CHN,Hubei.Macheng,CHN_Hubei.Macheng.573990_CSWD.epw
0,asia_wmo_region_2,CHN,Hubei.Wuhan,CHN_Hubei.Wuhan.574940_CSWD.epw
0,asia_wmo_region_2,CHN,Hubei.Wuhan,CHN_Hubei.Wuhan.574940_SWERA.epw
0,asia_wmo_region_2,CHN,Hubei.Yichang,CHN_Hubei.Yichang.574610_CSWD.epw
0,asia_wmo_region_2,CHN,Hubei.Yunxi,CHN_Hubei.Yunxi.572510_CSWD.epw
0,asia_wmo_region_2,CHN,Hubei.Zhongxiang,CHN_Hubei.Zhongxiang.573780_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Changde,CHN_Hunan.Changde.576620_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Changning,CHN_Hunan.Changning.578740_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Changsha,CHN_Hunan.Changsha.576870_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Changsha,CHN_Hunan.Changsha.576870_SWERA.epw
0,asia_wmo_region_2,CHN,Hunan.Jishou,CHN_Hunan.Jishou.576490_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Lingling,CHN_Hunan.Lingling.578660_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Nanxian,CHN_Hunan.Nanxian.575740_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Shimen,CHN_Hunan.Shimen.575620_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Wugang,CHN_Hunan.Wugang.578530_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Zhijiang,CHN_Hunan.Zhijiang.577450_CSWD.epw
0,asia_wmo_region_2,CHN,Hunan.Zhuzhou,CHN_Hunan.Zhuzhou.577800_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangsu.Dongtai,CHN_Jiangsu.Dongtai.582510_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangsu.Ganyu,CHN_Jiangsu.Ganyu.580400_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangsu.Huaiyang-Qingjiang,CHN_Jiangsu.Huaiyang-Qingjiang.581440_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangsu.Lusi,CHN_Jiangsu.Lusi.582650_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangsu.Nanjing,CHN_Jiangsu.Nanjing.582380_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangsu.Xuzhou,CHN_Jiangsu.Xuzhou.580270_CSWD.epw
