,City,Country Code,Filename,Lat,Long
0,Jishou,CHN,CHN_Hunan.Jishou.576490_CSWD.epw,28.32,109.73
0,Lingling,CHN,CHN_Hunan.Lingling.578660_CSWD.epw,26.23,111.62
0,Nanxian,CHN,CHN_Hunan.Nanxian.575740_CSWD.epw,29.37,112.40
0,Shimen,CHN,CHN_Hunan.Shimen.575620_CSWD.epw,29.58,111.37
0,Wugang,CHN,CHN_Hunan.Wugang.578530_CSWD.epw,26.73,110.63
0,Zhijiang,CHN,CHN_Hunan.Zhijiang.577450_CSWD.epw,27.45,109.68
0,Zhuzhou,CHN,CHN_Hunan.Zhuzhou.577800_CSWD.epw,27.87,113.17
0,Dongtai,CHN,CHN_Jiangsu.Dongtai.582510_CSWD.epw,32.87,120.32
0,Ganyu,CHN,CHN_Jiangsu.Ganyu.580400_CSWD.epw,34.83,119.12
0,Huaiyang-Qingjiang,CHN,CHN_Jiangsu.Huaiyang-Qingjiang.581440_CSWD.epw,33.63,119.02
0,Lusi,CHN,CHN_Jiangsu.Lusi.582650_CSWD.epw,32.07,121.60
0,Nanjing,CHN,CHN_Jiangsu.Nanjing.582380_CSWD.epw,32.83,118.80
0,Xuzhou,CHN,CHN_Jiangsu.Xuzhou.580270_CSWD.epw,34.28,117.15
0,Ganzhou,CHN,CHN_Jiangxi.Ganzhou.579930_CSWD.epw,25.87,115.00
0,Jian,CHN,CHN_Jiangxi.Jian.577990_CSWD.epw,27.05,114.92
0,Jingdezhen,CHN,CHN_Jiangxi.Jingdezhen.585270_CSWD.epw,29.30,117.20
0,Nanchang,CHN,CHN_Jiangxi.Nanchang.586060_CSWD.epw,28.60,115.92
0,Nancheng,CHN,CHN_Jiangxi.Nancheng.587150_CSWD.epw,27.58,116.65
0,NANCHENG,CHN,CHN_Jiangxi.Nancheng.587150_SWERA.epw,27.58,116.65
0,NANJING/NANKING,CHN,CHN_Jiangxi.Nanjing.582380_SWERA.epw,32.00,118.80
